id,sample_id,name,application_label,is_system_app,version_name
299700008,7457699,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299700018,7457700,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299700047,7457700,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299700057,7457701,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299700086,7457701,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299700114,7457702,com.android.bluetooth,Bluetooth,1,6.0.1
299700163,7457703,com.android.bluetooth,Bluetooth,1,6.0.1
299700212,7457704,com.android.bluetooth,Bluetooth,1,6.0.1
299700256,7457705,com.android.bluetooth,Bluetooth,1,6.0.1
299700277,7457706,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299700306,7457706,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299700330,7457707,com.mediatek.bluetooth,Bluetooth,1,4.4.2
299700358,7457708,com.android.bluetooth,Bluetooth,1,6.0.1
299700388,7457709,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299700417,7457709,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299700434,7457710,com.mediatek.bluetooth,Bluetooth,1,4.4.2
299700443,7457711,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299700480,7457711,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299700505,7457712,com.android.bluetooth,Bluetooth,1,6.0.1
299700547,7457713,com.mediatek.bluetooth,Bluetooth,1,4.4.2
299700576,7457714,com.android.bluetooth,Bluetooth,1,6.0.1
299700608,7457715,com.android.bluetooth,Bluetooth,1,6.0.1
299700656,7457716,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299700685,7457716,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299700696,7457717,com.android.bluetooth,Bluetooth,1,6.0.1
299700745,7457718,com.android.bluetooth,Bluetooth,1,6.0.1
299700792,7457719,com.android.bluetooth,Bluetooth,1,6.0.1
299700839,7457720,com.android.bluetooth,Bluetooth,1,6.0.1
299700885,7457721,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299700914,7457721,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299700941,7457722,com.android.bluetooth,Bluetooth,1,6.0.1
299700973,7457723,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299701002,7457723,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299701029,7457724,com.android.bluetooth,Bluetooth,1,6.0.1
299701078,7457725,com.android.bluetooth,Bluetooth,1,6.0.1
299701130,7457726,com.android.bluetooth,Bluetooth,1,6.0.1
299701162,7457727,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299701192,7457727,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299701220,7457728,com.android.bluetooth,Bluetooth,1,6.0.1
299701251,7457729,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299701280,7457729,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299701308,7457730,com.android.bluetooth,Bluetooth,1,6.0.1
299701357,7457731,com.android.bluetooth,Bluetooth,1,6.0.1
299701416,7457733,com.android.bluetooth,Bluetooth,1,6.0.1
299701464,7457734,com.android.bluetooth,Bluetooth,1,6.0.1
299701495,7457735,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299701523,7457735,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299701552,7457736,com.android.bluetooth,Bluetooth,1,6.0.1
299701581,7457737,com.android.bluetooth,Bluetooth,1,7.0
299701646,7457738,com.android.bluetooth,Bluetooth,1,6.0.1
299701676,7457739,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299701704,7457739,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299701714,7457740,com.android.bluetooth,Bluetooth,1,7.0
299701780,7457741,com.android.bluetooth,Bluetooth,1,6.0.1
299701827,7457742,com.android.bluetooth,Bluetooth,1,6.0.1
299701857,7457743,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299701891,7457744,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299701924,7457745,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299701989,7457747,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702025,7457748,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299702054,7457748,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299702064,7457749,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702097,7457750,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702130,7457751,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702164,7457752,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702198,7457753,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702232,7457754,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702266,7457755,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702300,7457756,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702334,7457757,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702372,7457759,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702436,7457760,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702470,7457761,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702502,7457762,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702534,7457763,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702566,7457764,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702598,7457765,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702611,7457766,com.android.bluetooth,Bluetooth,1,7.0
299702678,7457767,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702710,7457768,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702742,7457769,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702774,7457770,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702806,7457771,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702838,7457772,com.android.bluetooth,Bluetooth,1,7.0
299702841,7457773,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702917,7457774,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702950,7457775,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299702983,7457776,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299703011,7457776,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299703021,7457777,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299703054,7457778,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299703087,7457779,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299703120,7457780,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299703153,7457781,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299703186,7457782,com.android.bluetooth,Bluetooth,1,7.0
299703233,7457783,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299703266,7457784,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299703298,7457785,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299703330,7457786,com.android.bluetooth,"Bluetooth Share",1,7.1.2
299703362,7457787,com.android.bluetooth,Bluetooth,1,7.0
299703413,7457788,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299703442,7457788,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299703468,7457789,com.android.bluetooth,Bluetooth,1,7.0
299703513,7457790,com.android.bluetooth,Bluetooth,1,7.0
299703558,7457791,com.android.bluetooth,Bluetooth,1,7.0
299703602,7457792,com.android.bluetooth,Bluetooth,1,7.0
299703643,7457793,com.android.bluetooth,Bluetooth,1,7.0
299703682,7457794,com.android.bluetooth,Bluetooth,1,7.0
299703725,7457795,com.android.bluetooth,Bluetooth,1,7.0
299703771,7457796,com.android.bluetooth,Bluetooth,1,7.0
299703789,7457797,com.android.bluetooth,Bluetooth,1,7.0
299703865,7457798,com.android.bluetooth,Bluetooth,1,7.0
299703907,7457799,com.android.bluetooth,Bluetooth,1,7.0
299703948,7457800,com.android.bluetooth,Bluetooth,1,7.0
299703992,7457801,com.android.bluetooth,Bluetooth,1,7.0
299704033,7457802,com.android.bluetooth,Bluetooth,1,7.0
299704074,7457803,com.android.bluetooth,Bluetooth,1,7.0
299704115,7457804,com.android.bluetooth,Bluetooth,1,7.0
299704144,7457805,com.android.bluetooth,Bluetooth,1,7.0
299704207,7457806,com.android.bluetooth,Bluetooth,1,7.0
299704248,7457807,com.android.bluetooth,Bluetooth,1,7.0
299704291,7457808,com.android.bluetooth,Bluetooth,1,7.0
299704320,7457809,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299704350,7457809,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299704375,7457810,com.android.bluetooth,Bluetooth,1,7.0
299704415,7457811,com.android.bluetooth,Bluetooth,1,7.0
299704442,7457812,com.android.bluetooth,Bluetooth,1,7.0
299704471,7457813,com.android.bluetooth,Bluetooth,1,7.0
299704545,7457814,com.android.bluetooth,Bluetooth,1,7.0
299704590,7457815,com.android.bluetooth,Bluetooth,1,7.0
299704619,7457816,com.android.bluetooth,Bluetooth,1,7.0
299704668,7457817,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299704698,7457817,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299704711,7457818,com.android.bluetooth,Bluetooth,1,7.0
299704758,7457819,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299704787,7457819,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299704799,7457820,com.android.bluetooth,Bluetooth,1,7.0
299704848,7457821,com.android.bluetooth,Bluetooth,1,7.0
299704896,7457822,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299704924,7457822,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
299704936,7457823,com.android.bluetooth,Bluetooth,1,7.0
299704985,7457824,com.android.bluetooth,Bluetooth,1,7.0
299705032,7457825,com.android.bluetooth,Bluetooth,1,7.0
299705080,7457826,com.android.bluetooth,"Bluetooth Share",1,6.0.1
299705108,7457826,com.jrdcom.jrdwfcmanager,"Wi-Fi Calling",1,1.0.1
